City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (Last 3 hrs),Snow Inches (Last 3 hrs)
215,Geraldton,AU,2020-04-18 03:18:15,-28.77,114.6,82.4,42,58,4.7,broken clouds,0.0,0.0
216,Sawtell,AU,2020-04-18 03:18:16,-30.38,153.1,77.0,73,100,8.05,overcast clouds,0.0,0.0
217,Kambove,CD,2020-04-18 03:18:16,-10.88,26.6,60.17,65,74,5.03,broken clouds,0.0,0.0
218,Cabo San Lucas,MX,2020-04-18 03:18:17,22.89,-109.91,66.99,72,5,16.11,clear sky,0.0,0.0
219,Muli,MV,2020-04-18 03:18:17,2.92,73.57,85.32,71,14,7.16,light rain,0.22,0.0
220,Farafangana,MG,2020-04-18 03:18:18,-22.82,47.83,74.57,78,39,5.68,light rain,0.32,0.0
221,Yekaterinovka,RU,2020-04-18 03:18:18,52.05,44.35,33.89,82,5,11.65,clear sky,0.0,0.0
222,Hof,DE,2020-04-18 03:18:19,50.32,11.92,46.99,74,30,3.0,scattered clouds,0.0,0.0
223,Senanga,ZM,2020-04-18 03:18:21,-16.12,23.27,69.1,49,64,4.63,broken clouds,0.0,0.0
224,Hami,CN,2020-04-18 03:18:21,42.8,93.45,66.67,19,22,6.11,few clouds,0.0,0.0
225,Caravelas,BR,2020-04-18 03:14:27,-17.71,-39.25,77.63,86,17,14.45,light rain,2.99,0.0
226,Camacha,PT,2020-04-18 03:18:22,33.08,-16.33,60.8,72,20,8.05,few clouds,0.0,0.0
227,Port Said,EG,2020-04-18 03:18:23,31.26,32.28,64.4,88,0,8.05,clear sky,0.0,0.0
228,Moyo,UG,2020-04-18 03:18:24,3.66,31.72,67.46,74,100,4.38,light rain,0.39,0.0
229,Sabang,ID,2020-04-18 03:18:24,5.89,95.32,83.68,69,93,3.49,overcast clouds,0.0,0.0
